health_expenditures,treatment_locality,age_hh,educ_hh,dirtfloor,bathroom,hospital_distance
0.137507632,Yes,56,1,1,0,112.7670071
3.202542543,Yes,39,0,1,0,112.7670071
7.702784538,Yes,24,6,1,0,112.7670071
0.656579196,Yes,27,6,1,1,112.7670071
7.498057365,Yes,29,6,1,0,112.7670071
6.139431953,Yes,44,3,0,0,112.7670071
22.66633415,Yes,78,0,0,0,112.7670071
2.219865084,Yes,45,0,1,0,112.7670071
0,Yes,48,0,1,0,112.7670071
0.660073459,Yes,39,3,1,0,112.7670071
4.129715919,Yes,34,2,1,1,112.7670071
12.12236118,Yes,53,0,1,0,112.7670071
3.963524103,Yes,35,2,1,0,112.7670071
4.82676506,Yes,26,5,1,0,112.7670071
11.00931644,Yes,31,0,1,0,112.7670071
8.358721733,Yes,31,4,1,0,112.7670071
1.404654741,Yes,55,0,1,0,112.7670071
0,Yes,29,0,1,0,112.7670071
2.047722101,Yes,26,6,1,1,112.7670071
0,Yes,40,4,1,0,112.7670071
0.368843257,Yes,24,6,1,0,112.7670071
0.865637004,Yes,61,0,1,0,112.7670071
14.31856823,Yes,81,0,1,0,112.7670071
22.92553139,Yes,66,0,1,0,112.7670071
0,Yes,29,3,1,0,112.7670071
1.944375277,Yes,71,0,1,0,112.7670071
2.402444124,Yes,49,3,1,0,112.7670071
5.440030098,Yes,43,0,1,0,112.7670071
7.153399467,Yes,40,3,0,0,112.7670071
3.185878992,Yes,35,0,1,0,112.7670071
5.844578743,Yes,50,2,1,0,112.7670071
8.826260567,Yes,29,3,1,0,112.7670071
2.528707743,Yes,43,0,1,0,112.7670071
0,Yes,33,2,1,0,112.7670071
1.315355539,Yes,44,3,1,0,112.7670071
1.081751108,Yes,28,4,1,0,112.7670071
1.581885576,Yes,60,0,1,0,112.7670071
0,Yes,39,3,1,0,112.7670071
4.980256081,Yes,71,1,1,0,109.3589065
9.685078621,Yes,39,6,0,1,109.3589065
21.4379921,Yes,40,6,1,0,109.3589065
8.310671806,Yes,56,0,1,0,109.3589065
14.21401119,Yes,35,1,0,1,109.3589065
4.020692825,Yes,42,0,0,0,109.3589065
6.78178215,Yes,35,16,0,1,109.3589065
8.555493355,Yes,39,2,1,0,109.3589065
7.073328972,Yes,50,2,1,0,109.3589065
13.58808231,Yes,48,1,1,0,109.3589065
0,Yes,41,1,1,0,109.3589065
4.438510895,Yes,65,0,1,0,109.3589065
16.8930397,No,35,1,1,1,103.7543721
40.49397278,No,36,1,1,0,103.7543721
31.94972992,No,25,6,1,0,103.7543721
14.20531273,No,41,0,1,1,103.7543721
11.94797134,No,38,0.5,1,1,103.7543721
15.25940895,No,50,0,1,0,103.7543721
20.48422623,No,66,0,1,1,103.7543721
26.40684319,No,59,2,1,1,103.7543721
28.41112137,No,37,1,1,0,103.7543721
24.98462868,No,35,3,1,0,103.7543721
9.648073196,No,35,2,1,1,103.7543721
15.05044174,No,47,3,1,1,103.7543721
24.28685951,No,33,11,1,1,103.7543721
30.59328461,No,44,0,1,1,103.7543721
14.89692783,No,36,5,1,0,103.7543721
17.8650589,No,51,1,1,0,103.7543721
10.78791714,No,42,1,1,0,103.7543721
22.79548645,No,25,6,1,0,103.7543721
8.756876945,Yes,73,0,1,0,106.1253241
0.946740329,Yes,30,2,0,0,106.1253241
3.168116808,Yes,56,0,1,0,106.1253241
4.421150208,Yes,63,4,0,0,106.1253241
0.955834568,Yes,60,0,1,0,106.1253241
6.987488747,Yes,50,0,1,0,106.1253241
1.096256495,Yes,61,0,1,1,106.1253241
17.65077782,Yes,30,6,1,0,106.1253241
4.893014908,Yes,42,3,1,0,106.1253241
6.492956161,Yes,60,0,1,0,106.1253241
0.570578754,Yes,32,6,1,0,106.1253241
5.141593933,Yes,47,0,0,0,106.1253241
7.689917564,Yes,69,0,1,0,106.1253241
0,Yes,44,3,1,0,106.1253241
5.811730385,Yes,34,0,0,1,106.1253241
7.147997856,Yes,42,3,1,0,106.1253241
4.073922157,Yes,38,6,1,1,106.1253241
9.17462635,Yes,56,0,0,0,106.1253241
5.327947617,Yes,22,5,0,0,106.1253241
4.807983398,Yes,32,3,1,0,106.1253241
0.144756511,Yes,38,6,1,0,106.1253241
0.898236454,Yes,40,3,1,0,106.1253241
1.382551432,Yes,71,2.839874744,1,0,106.1253241
0,Yes,49,3,1,0,106.1253241
10.7987833,Yes,26,6,0,0,106.1253241
6.864073753,Yes,56,3,1,0,106.1253241
8.541628838,Yes,29,3,1,0,106.1253241
6.938624382,Yes,19,0,1,0,106.1253241
14.25088215,No,41,4,1,0,119.0224308
15.32071114,No,20,0,1,0,119.0224308
13.84873104,No,68,0,0,0,119.0224308
11.45525265,No,40,0,1,0,119.0224308
16.3626976,No,20,4,1,0,119.0224308
11.53478527,No,31,1,0,1,119.0224308
32.36650467,No,42,0,0,0,119.0224308
13.0286541,No,49,2,0,1,119.0224308
15.45571899,No,21,3,1,1,119.0224308
18.97925186,No,19,4,0,0,119.0224308
12.0696888,No,20,4,0,1,119.0224308
23.04784775,No,21,4,1,1,119.0224308
10.06115913,No,25,2,0,1,119.0224308
37.71044159,No,23,4,1,1,119.0224308
9.818359375,No,37,1,0,1,119.0224308
27.22071075,Yes,32,2,0,1,143.2626785
15.76734829,Yes,41,6,0,0,143.2626785
3.576147318,Yes,26,6,1,0,143.2626785
2.139652491,Yes,40,3,0,1,143.2626785
21.32742119,Yes,50,0,1,1,143.2626785
7.603732109,Yes,39,0,1,1,143.2626785
65.53373718,Yes,35,3,1,0,143.2626785
1.303996325,Yes,29,6,1,1,143.2626785
7.165602684,Yes,68,0,1,0,134.2010368
4.571857452,Yes,36,2.839874744,1,0,134.2010368
1.792318583,Yes,46,4,1,0,134.2010368
9.523283958,Yes,43,4,1,0,134.2010368
20.10010719,Yes,38,4,1,0,134.2010368
13.72462749,Yes,51,0,0,0,134.2010368
3.50921464,Yes,28,8,1,0,134.2010368
4.831753731,Yes,65,1,1,1,134.2010368
7.87104702,Yes,24,8,1,1,134.2010368
28.10025406,Yes,35,2.839874744,1,0,134.2010368
3.474645853,Yes,66,0,1,0,134.2010368
5.938745499,Yes,43,4,1,0,134.2010368
8.058524132,Yes,38,4,0,0,134.2010368
8.477879524,Yes,55,3,1,0,134.2010368
4.271651268,Yes,31,7,1,0,134.2010368
2.10047555,Yes,73,0,1,0,139.7042884
3.461200953,Yes,68,0,1,0,139.7042884
0,Yes,86,3,1,0,139.7042884
4.110063553,Yes,48,4,1,0,139.7042884
0.293352306,Yes,61,2,1,0,139.7042884
4.634498596,Yes,76,0,1,0,139.7042884
14.68055058,No,37,3,1,0,139.8365601
11.51759148,No,40,3,1,0,139.8365601
13.18573856,No,72,0,1,0,139.8365601
13.33400249,No,24,8,1,0,139.8365601
13.33976746,No,65,0,1,0,139.8365601
18.60903168,No,60,0,1,0,139.8365601
14.50198841,No,43,0.5,1,0,139.8365601
15.0900135,No,39,7,1,0,139.8365601
36.26718903,No,74,0,1,0,139.8365601
15.54089451,No,31,8,1,0,139.8365601
17.96916008,No,65,0,1,0,139.8365601
0,Yes,30,4,1,0,116.0150927
9.18628788,Yes,56,2,1,0,116.0150927
4.292117119,Yes,54,0,1,0,116.0150927
2.099690676,Yes,34,5,1,0,116.0150927
5.461418152,Yes,38,0,1,1,116.0150927
0.959762752,Yes,35,6,1,1,116.0150927
0.106713489,Yes,38,2,1,1,116.0150927
7.131991386,Yes,27,7,1,0,116.0150927
2.17834115,Yes,26,6,1,1,116.0150927
2.189523935,Yes,45,4,1,1,116.0150927
7.816050529,Yes,26,13,1,0,116.0150927
0,Yes,43,1,1,1,116.0150927
1.774980783,Yes,35,1,0,1,116.0150927
5.104832649,Yes,35,7,1,0,116.0150927
1.727395296,Yes,25,13,1,0,116.0150927
7.794137001,Yes,54,0,1,0,116.0150927
2.077162981,Yes,61,0,0,0,116.0150927
0,Yes,70,0,1,1,116.0150927
0,Yes,28,3,1,0,116.0150927
9.938828468,Yes,56,3,1,1,120.5898703
2.25677228,Yes,62,0,0,0,120.5898703
12.82487774,Yes,36,2,1,0,120.5898703
6.712357521,Yes,39,6,1,0,120.5898703
7.305506706,Yes,57,2,0,1,120.5898703
4.603222847,Yes,71,1,0,1,120.5898703
0,Yes,50,0,0,1,120.5898703
0,Yes,30,6,1,0,120.5898703
3.569591761,Yes,51,0,1,0,121.8868638
0,Yes,30,6,1,0,121.8868638
0,Yes,53,0,1,0,121.8868638
0.250582874,Yes,79,0,1,0,121.8868638
21.18470383,Yes,51,0,1,1,121.8868638
11.19854069,Yes,24,9,1,0,121.8868638
3.91745019,Yes,41,3,1,0,121.8868638
12.79238415,Yes,34,6,1,0,121.8868638
9.308936119,Yes,42,0,1,1,121.8868638
2.610718012,Yes,25,5,1,0,121.8868638
17.76752853,Yes,48,3,1,0,121.8868638
3.511283159,Yes,28,6,1,0,121.8868638
0,Yes,32,4,1,0,121.8868638
2.851165056,Yes,31,0,1,0,121.8868638
2.518723726,Yes,37,6,1,1,121.8868638
4.757604599,Yes,41,3,1,0,121.8868638
2.551853418,Yes,32,4,1,0,121.8868638
0,Yes,27,6,1,0,121.8868638
0,Yes,38,0,1,0,121.8868638
0,Yes,37,6,1,0,121.8868638
9.449115753,No,73,0,1,1,166.0890057
13.59172916,No,37,0,1,1,166.0890057
12.91420174,No,47,0,1,1,166.0890057
17.36925125,No,41,6,1,0,166.0890057
25.89673233,No,23,2,1,0,166.0890057
19.95759964,No,19,5,1,1,166.0890057
11.76766396,No,30,2,1,0,166.0890057
17.8985405,No,32,4,1,1,166.0890057
25.1207695,No,52,0,1,0,166.0890057
36.83225632,No,55,0,1,0,166.0890057
19.4209919,No,53,0,1,0,166.0890057
52.65491867,No,78,0,1,0,166.0890057
22.35688972,No,31,4,1,0,166.0890057
18.01382065,No,30,0,1,0,166.0890057
10.88686943,No,47,0,1,0,166.0890057
32.59288025,No,52,0,1,0,166.0890057
11.75324249,No,57,0,1,0,166.0890057
9.805086136,No,68,0,1,0,166.0890057
11.53535652,No,42,4,1,1,166.0890057
25.38941193,No,40,0,1,0,166.0890057
17.71686935,No,68,0,1,1,166.0890057
10.30045509,No,37,0,1,0,166.0890057
27.87518501,No,47,0,1,0,166.0890057
9.96607399,No,81,0,1,0,166.0890057
15.94839478,No,24,0,1,1,166.0890057
14.18769932,No,39,0,1,0,166.0890057
18.69638252,No,26,3,1,0,166.0890057
16.58776093,No,45,1,1,1,166.0890057
18.05867767,No,51,0,1,0,166.0890057
13.89779854,No,36,0,1,0,160.3103983
13.79108047,No,76,0,1,0,160.3103983
13.69125938,No,41,0,1,0,160.3103983
10.36354637,No,51,0,1,0,160.3103983
9.317447662,No,61,2.839874744,1,0,160.3103983
9.624459267,No,43,4,1,0,160.3103983
13.85020638,No,64,0,1,0,160.3103983
10.34054375,No,28,4,1,0,160.3103983
13.29197121,No,46,0,1,0,160.3103983
11.26488686,No,46,2,1,0,160.3103983
9.699531555,No,48,4,1,0,160.3103983
10.26136112,No,33,0,1,0,160.3103983
11.20305443,No,28,0,1,0,160.3103983
6.239439011,Yes,43,3,1,1,154.6118868
4.628767014,Yes,23,9,1,0,154.6118868
0,Yes,41,0,1,0,154.6118868
5.771056175,Yes,61,0,1,0,154.6118868
10.4817791,No,21,0,1,0,160.0704471
10.42818069,No,26,0,1,0,160.0704471
20.86055565,No,46,2,1,1,160.0704471
15.90811157,No,31,2,1,1,160.0704471
13.08067226,No,58,0,1,1,160.0704471
15.97888184,No,26,2,1,0,160.0704471
19.54354477,No,41,2,1,0,160.0704471
11.47982693,No,58,0,1,0,160.0704471
13.39006329,No,69,0,1,0,160.0704471
11.31276608,No,43,0,1,0,160.0704471
10.98809433,No,60,0,1,0,160.0704471
10.90977669,No,65,2,1,0,160.0704471
9.906980515,No,33,6,1,0,160.0704471
11.92778969,No,24,0,1,0,160.0704471
10.74760532,No,28,6,1,0,160.0704471
14.66255856,No,28,0,1,1,160.0704471
10.81509781,No,57,0,1,1,160.0704471
12.39155197,No,44,0,1,0,160.0704471
20.16968918,No,67,0,1,0,160.0704471
10.97195816,No,28,6,1,0,160.0704471
18.01778221,No,29,1,1,1,160.0704471
23.54272842,No,53,0,1,0,127.7556732
12.68901825,No,75,0,1,0,127.7556732
9.339100838,No,78,0,1,0,127.7556732
9.494321823,No,26,2,1,0,127.7556732
11.09096622,No,57,0,1,0,127.7556732
10.12141418,No,33,0,1,0,127.7556732
10.28432465,No,22,5,1,0,127.7556732
10.07888603,No,68,2,1,1,127.7556732
10.73933411,No,31,0,1,0,127.7556732
12.89963627,No,37,6,1,0,127.7556732
21.85533142,No,19,6,1,1,127.7556732
15.73279285,No,45,4,1,0,127.7556732
10.22051239,No,61,0,1,0,127.7556732
13.72468472,No,23,6,1,1,127.7556732
11.48035049,No,46,3,1,1,127.7556732
15.0405035,No,21,4,1,0,127.7556732
11.88754845,No,51,1,1,0,127.7556732
28.78295708,No,55,0,0,1,104.0538266
18.39676285,No,56,0,0,1,104.0538266
23.96388626,No,33,3,0,1,104.0538266
22.91968155,No,67,0,0,0,104.0538266
32.10842133,No,30,3,1,1,104.0538266
20.68848801,No,71,0,0,1,104.0538266
2.625324488,Yes,44,0,1,0,109.3165499
5.368525505,Yes,34,6,1,1,109.3165499
9.19816494,Yes,29,2,0,0,109.3165499
8.503891945,Yes,32,3,0,0,109.3165499
3.888812304,Yes,55,0,1,1,109.3165499
12.33085346,Yes,30,3,0,0,109.3165499
10.87318897,Yes,28,0,0,0,109.3165499
14.31294918,Yes,60,2,1,0,109.3165499
15.76438618,Yes,33,0,1,1,102.7581305
9.845713615,Yes,53,2,0,1,102.7581305
7.916254997,Yes,46,2,0,1,102.7581305
9.641251564,Yes,26,5,1,0,102.7581305
0,Yes,36,2,0,1,102.7581305
38.62009811,Yes,54,0,0,0,102.7581305
1.7786448,Yes,32,5,1,1,102.7581305
5.8525877,Yes,24,6,0,0,102.7581305
6.383933067,Yes,31,1,0,1,102.7581305
7.300936699,Yes,43,0,1,0,102.7581305
0.233565524,Yes,61,2,1,0,114.3477282
8.941338539,Yes,42,0,1,0,114.3477282
3.275066614,Yes,65,0,0,0,114.3477282
7.599539757,Yes,57,0,1,1,114.3477282
7.027487755,Yes,37,2,1,1,114.3477282
5.507499695,Yes,40,0,1,1,114.3477282
19.33854866,Yes,35,1,0,1,114.3477282
6.888170242,Yes,31,1,1,1,114.3477282
12.70758724,Yes,32,3,1,1,114.3477282
14.49063778,Yes,23,6,1,0,120.7683848
1.885712862,Yes,56,0,0,1,120.7683848
5.262832642,Yes,22,6,1,0,120.7683848
4.881946564,Yes,26,6,0,1,120.7683848
3.678688288,Yes,38,1,1,0,120.7683848
9.059025764,Yes,80,0,0,0,120.7683848
0.978823841,Yes,51,6,0,1,120.7683848
2.304169893,Yes,39,3,1,1,120.7683848
0,Yes,55,0,1,1,120.7683848
8.178376198,Yes,41,3,0,0,111.2286118
10.02846813,Yes,36,6,0,0,111.2286118
8.481478691,Yes,33,6,1,1,111.2286118
8.502875328,Yes,26,6,0,0,104.0754478
9.720049858,Yes,69,0,0,0,104.0754478
18.13061905,No,38,0,1,0,150.9886213
21.15594482,No,45,2,1,0,150.9886213
19.63442039,No,41,3,1,0,150.9886213
25.99400902,No,35,3,1,0,150.9886213
13.43487453,No,42,0,1,0,150.9886213
25.25963783,No,38,0,1,0,150.9886213
16.08106041,No,28,5,0,1,150.9886213
23.6574955,No,23,7,0,0,150.9886213
29.58421516,No,47,0,1,0,150.9886213
15.69544029,No,78,0,1,0,150.9886213
25.57802391,No,33,0,1,0,150.9886213
20.6318512,No,72,0,1,0,150.9886213
27.88508606,No,40,0,1,0,150.9886213
26.97956657,No,23,6,1,0,150.9886213
18.22399521,No,47,3,1,0,150.9886213
14.29288387,No,43,3,1,0,150.9886213
4.538669586,Yes,38,4,0,1,162.355172
6.015423775,Yes,33,6,1,1,162.355172
0.201183513,Yes,30,3,1,1,162.355172
7.592862129,Yes,38,6,0,1,162.355172
6.453836441,Yes,65,0,1,0,162.355172
6.156262398,Yes,55,1,0,1,162.355172
1.305202723,Yes,41,2,0,1,162.355172
1.597463846,Yes,61,0,0,1,162.355172
8.339055061,Yes,41,1,1,1,162.355172
8.474070549,Yes,30,9,0,1,162.355172
8.641234398,Yes,31,9,1,1,162.355172
1.704424143,Yes,35,3,1,0,162.355172
7.367400169,Yes,47,3,1,1,162.355172
11.77995586,Yes,29,4,1,1,168.1029679
19.45450592,Yes,38,2,0,0,168.1029679
15.43172169,Yes,49,3,1,1,168.1029679
7.661389351,Yes,38,6,0,1,168.1029679
10.8757143,Yes,51,0,0,1,168.1029679
7.208193779,Yes,42,2,0,1,168.1029679
1.261846781,Yes,45,3,0,1,168.1029679
9.319558144,Yes,59,0,0,1,168.1029679
0,Yes,36,3,1,0,168.1029679
4.704089165,Yes,28,9,0,1,168.1029679
0.150023654,Yes,39,2,1,1,168.1029679
2.755614519,Yes,28,2,1,1,168.1029679
7.712864876,Yes,53,0,1,1,168.1029679
0.714280307,Yes,31,6,1,1,168.1029679
3.697474718,Yes,64,0,1,1,168.1029679
0,Yes,45,3,0,1,168.1029679
19.27416611,Yes,75,0,1,1,168.1029679
9.702388763,No,56,0,1,1,143.8482341
16.73488235,No,51,2,1,1,143.8482341
24.03887939,Yes,65,1,1,1,141.8355033
2.09033227,Yes,37,3,1,0,141.8355033
2.136670351,Yes,25,6,0,1,141.8355033
6.485490799,Yes,61,0,0,1,141.8355033
14.06361866,Yes,69,0,1,0,132.6849856
11.5510664,Yes,38,3,0,1,132.6849856
10.52043247,Yes,48,0,1,1,132.6849856
10.69379711,Yes,58,0,0,1,132.6849856
19.89437866,Yes,64,0,1,1,138.5988165
5.068052292,Yes,30,4,1,0,138.5988165
18.34049416,No,50,1,0,1,134.9546081
15.44902134,No,36,3,1,0,134.9546081
24.97272491,No,37,6,0,0,134.9546081
11.50328445,No,63,0,0,1,134.9546081
17.37858963,No,38,6,0,0,134.9546081
14.09907246,No,28,6,0,1,134.9546081
12.91636658,No,31,4,0,0,134.9546081
15.60597992,No,25,1,0,0,77.66020817
20.1423645,No,29,5,0,0,77.66020817
16.89926147,No,33,6,0,0,77.66020817
16.44422722,No,41,3,1,1,77.66020817
17.39592743,No,50,2,0,1,77.66020817
16.91002655,No,70,0,1,1,77.66020817
15.09253693,No,36,7,1,0,77.66020817
16.53783035,No,40,4,1,0,77.66020817
15.941329,No,45,3,0,0,77.66020817
26.07094955,No,28,2,1,1,77.66020817
15.87498665,No,64,2,1,0,77.66020817
25.83513832,No,61,3,1,1,77.66020817
14.50448895,No,67,1,0,1,77.66020817
31.42388916,No,61,0,1,0,77.66020817
18.18365097,No,60,0,1,0,77.66020817
14.45842266,No,34,6,1,0,77.66020817
17.98785019,No,61,0,1,0,77.66020817
23.91312027,No,33,6,1,1,77.66020817
16.67152405,No,38,2,1,0,77.66020817
11.18970013,No,65,1,1,0,77.66020817
26.86915207,No,65,1,0,1,67.8680588
37.74164581,No,30,6,1,1,67.8680588
18.27300835,No,59,0,1,0,67.8680588
16.42403412,No,29,6,0,1,67.8680588
15.2056942,No,41,0,1,0,67.8680588
14.25111294,No,23,3,1,0,71.60027214
13.70049953,No,25,1,0,0,71.60027214
17.09804535,No,29,9,0,1,71.60027214
16.59109116,No,48,0,0,1,71.60027214
12.66555786,No,60,3,0,1,71.60027214
12.16795063,No,27,6,0,0,71.60027214
20.7317276,No,29,6,1,0,71.60027214
19.84573746,No,53,2,1,1,71.60027214
19.644804,No,33,5,0,0,71.60027214
11.99063969,No,40,3,0,0,71.60027214
11.43925095,No,35,6,0,0,71.60027214
11.14896965,No,43,2,0,1,71.60027214
2.905086756,Yes,54,6,1,0,71.54576254
5.391952515,Yes,42,2,0,0,71.54576254
11.45896435,Yes,61,2,0,1,71.54576254
4.254962921,Yes,46,5,1,0,71.54576254
4.439416885,Yes,34,9,0,0,71.54576254
6.335858345,Yes,29,4,0,0,71.54576254
3.879694223,Yes,38,4,0,0,71.54576254
3.501551867,Yes,42,3,0,0,71.54576254
10.50267696,Yes,28,6,0,0,78.51462407
5.102287292,Yes,41,0,0,0,78.51462407
10.04258633,Yes,28,9,0,1,78.51462407
7.42683506,Yes,30,9,0,1,78.51462407
3.438877344,Yes,58,6,0,0,78.51462407
2.760438204,Yes,36,2,0,1,78.51462407
10.41580296,Yes,27,3,0,1,78.51462407
0,Yes,35,1,1,1,157.1601315
2.533486605,Yes,45,2,1,0,157.1601315
0,Yes,27,6,1,1,157.1601315
0.325024784,Yes,38,6,0,1,157.1601315
1.672600031,Yes,33,4,1,1,157.1601315
15.06186771,Yes,25,5,1,1,157.1601315
6.004609108,Yes,27,5,1,1,157.1601315
2.392696619,Yes,24,0,1,1,157.1601315
24.70648193,Yes,25,3,1,1,157.1601315
4.906402588,Yes,44,3,0,1,157.1601315
0.479899585,Yes,39,3,1,1,157.1601315
6.224516869,Yes,34,4,0,0,157.1601315
8.949803352,Yes,28,3,1,1,157.1601315
13.34235477,Yes,22,3,0,1,157.1601315
0.614172161,Yes,45,2,1,1,157.1601315
0.520404041,Yes,67,0,1,1,157.1601315
8.975794792,Yes,47,2,0,1,157.1601315
1.30098176,Yes,22,6,1,1,157.1601315
16.77748299,Yes,76,0,1,1,157.1601315
4.129473686,Yes,33,2.839874744,1,1,157.1601315
2.13980794,Yes,24,6,0,1,157.1601315
0.827500522,Yes,43,0,0,1,157.1601315
6.360889435,Yes,28,4,1,1,157.1601315
6.498290062,Yes,24,5,0,1,157.1601315
1.945192575,Yes,35,2,0,1,157.1601315
0,Yes,34,6,0,1,157.1601315
0,Yes,50,0,0,1,157.1601315
2.43355298,Yes,27,2,0,0,157.1601315
2.506886721,Yes,41,2,1,1,157.1601315
21.43543243,No,37,6,0,0,101.8478032
31.2390461,No,27,8,1,0,101.8478032
14.82979012,No,34,9,0,1,101.8478032
11.19893646,No,44,6,0,0,101.8478032
13.30200481,No,36,6,0,0,101.8478032
15.04932785,No,29,0,0,0,101.8478032
13.59795189,No,28,4,1,0,101.8478032
11.31521893,Yes,38,0,0,0,108.3722817
12.56076908,Yes,59,3,0,0,108.3722817
15.70834827,Yes,28,9,0,1,155.6102121
14.97063732,Yes,66,0,1,1,155.6102121
15.80331516,Yes,20,8,1,1,155.6102121
18.00914001,Yes,42,4,0,1,155.6102121
4.771800995,Yes,55,3,1,1,155.6102121
7.951766014,Yes,45,0,1,1,155.6102121
